CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG513382,11/22/2023 12:00:00 AM,024XX W POLK ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1135,28,08A,1160193,1896299,41.871149707,-87.687341534,"(41.871149707, -87.687341534)"
JG512729,11/21/2023 11:27:00 AM,032XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1123,28,08B,1154633,1900797,41.88360569,-87.707634031,"(41.88360569, -87.707634031)"
JG512743,11/21/2023 11:44:00 AM,001XX W 110TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,513,9,14,1177282,1832010,41.694364039,-87.626542126,"(41.694364039, -87.626542126)"
JG482095,10/28/2023 04:00:00 AM,020XX W FARGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2424,49,14,1161568,1949266,42.016465687,-87.680813065,"(42.016465687, -87.680813065)"
JH117691,01/16/2024 06:50:00 PM,010XX W 99TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2232,21,15,1170976,1839080,41.713904887,-87.649424515,"(41.713904887, -87.649424515)"
JG522770,11/30/2023 07:28:00 AM,034XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,Y,N,1121,27,18,1153117,1905117,41.895490399,-87.713086271,"(41.895490399, -87.713086271)"
JG560426,12/31/2023 12:55:00 AM,0000X W GRAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1831,42,15,1175975,1903895,41.891653037,-87.62917162,"(41.891653037, -87.62917162)"
JG482305,10/28/2023 01:00:00 PM,082XX S SPAULDING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,834,18,26,1155815,1849842,41.743754724,-87.704662463,"(41.743754724, -87.704662463)"
JH123778,01/06/2024 12:50:00 PM,055XX S ASHLAND AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,713,16,11,1166617,1867978,41.79329893,-87.66456619,"(41.79329893, -87.66456619)"
JG484516,10/28/2023 11:00:00 AM,004XX N LA SALLE DR,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1831,42,05,1175063,1903150,41.889629205,-87.632543289,"(41.889629205, -87.632543289)"
JG482490,10/28/2023 12:30:00 PM,075XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,N,N,411,8,06,1188234,1855158,41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
JG496777,11/08/2023 04:15:00 PM,009XX S KEDZIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,Y,1134,24,07,1155176,1895737,41.86970965,-87.705775939,"(41.86970965, -87.705775939)"
JG482495,10/28/2023 06:30:00 PM,041XX S INDIANA AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,213,3,06,1178283,1877700,41.819719964,-87.621493041,"(41.819719964, -87.621493041)"
JH216031,04/07/2024 01:56:00 PM,013XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1424,1,06,1164309,1909321,41.906797102,-87.671861659,"(41.906797102, -87.671861659)"
JH164356,10/10/2023 08:23:00 PM,064XX S BELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,825,16,08B,1162510,1861977,41.776918077,-87.679793478,"(41.776918077, -87.679793478)"
JH197885,03/22/2024 03:30:00 PM,016XX W MORSE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,2431,49,06,1164302,1946138,42.007824765,-87.670841822,"(42.007824765, -87.670841822)"
JH157138,02/18/2024 07:18:00 PM,098XX S MARYLAND AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,Y,Y,511,8,04A,1183625,1840085,41.716377684,-87.603068161,"(41.716377684, -87.603068161)"
JH215608,04/07/2024 03:40:00 AM,004XX N WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,Y,N,1834,42,26,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG464887,10/15/2023 04:30:00 PM,008XX N MICHIGAN AVE,0810,THEFT,OVER $500,RESTAURANT,N,N,1833,2,06,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG464780,10/15/2023 03:30:00 PM,065XX S WESTERN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,N,N,832,16,04B,1161496,1861276,41.775015522,-87.683530209,"(41.775015522, -87.683530209)"
JG447398,09/30/2023 04:30:00 PM,026XX W WILCOX ST,0820,THEFT,$500 AND UNDER,VEHICLE - DELIVERY TRUCK,N,N,1125,27,06,1158694,1899254,41.879289336,-87.692763958,"(41.879289336, -87.692763958)"
JG444997,09/30/2023 11:40:00 AM,0000X E ILLINOIS ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,Y,N,1834,42,18,1176744,1903627,41.890900279,-87.626355577,"(41.890900279, -87.626355577)"
JG445480,09/30/2023 07:00:00 PM,091XX S BURNSIDE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,N,633,6,04A,1179771,1844315,41.728074176,-87.617054509,"(41.728074176, -87.617054509)"
JG444909,09/30/2023 09:15:00 AM,038XX S PRINCETON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,CHA APARTMENT,Y,Y,915,3,26,1174916,1879540,41.824844967,-87.633789553,"(41.824844967, -87.633789553)"
JG426353,09/15/2023 10:30:00 AM,024XX N KEELER AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2524,31,06,1147976,1915893,41.925161251,-87.731690486,"(41.925161251, -87.731690486)"
JG428237,09/15/2023 08:30:00 AM,014XX N CENTRAL PARK AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,N,N,2535,26,07,1152095,1909500,41.907537986,-87.716724153,"(41.907537986, -87.716724153)"
JG404676,08/31/2023 12:15:00 AM,004XX N WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,N,Y,1834,42,08B,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG405536,08/31/2023 02:08:00 PM,059XX N GLENWOOD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,SCHOOL - PUBLIC GROUNDS,N,N,2013,48,08A,1165910,1939379,41.989243623,-87.665119726,"(41.989243623, -87.665119726)"
JG405214,08/31/2023 11:26:00 AM,051XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,923,14,08B,1156579,1870410,41.800181061,-87.701309252,"(41.800181061, -87.701309252)"
JG405042,08/31/2023 10:00:00 AM,080XX S EXCHANGE AVE,0820,THEFT,$500 AND UNDER,STREET,N,Y,422,7,06,1197222,1852411,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
JG406202,08/31/2023 11:36:00 PM,091XX S BURNSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,633,6,08B,1179771,1844315,41.728074176,-87.617054509,"(41.728074176, -87.617054509)"
JG405374,08/31/2023 06:00:00 AM,078XX S STONY ISLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,411,8,07,1188311,1853382,41.752755652,-87.585482637,"(41.752755652, -87.585482637)"
JG406593,08/31/2023 06:00:00 PM,005XX E WACKER DR,1320,CRIMINAL DAMAGE,TO VEHICLE,GOVERNMENT BUILDING / PROPERTY,N,N,114,42,14,1180998,1902569,41.887899839,-87.610765705,"(41.887899839, -87.610765705)"
JG405258,08/31/2023 12:28:00 PM,007XX W 100TH ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,Y,N,2232,21,18,1172926,1838544,41.712391299,-87.642298633,"(41.712391299, -87.642298633)"
JG424838,09/15/2023 07:00:00 AM,039XX W GRENSHAW ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1132,24,07,1150300,1894750,41.867097632,-87.723702988,"(41.867097632, -87.723702988)"
JG424744,09/15/2023 03:56:00 AM,075XX S STONY ISLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,411,8,14,1188234,1855158,41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
JG425392,09/15/2023 03:22:00 PM,042XX S MICHIGAN AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,N,N,213,3,26,1177864,1876890,41.817506771,-87.623054656,"(41.817506771, -87.623054656)"
JG445236,09/30/2023 03:00:00 PM,009XX E 56TH ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,235,5,06,1183617,1868080,41.793199014,-87.602226144,"(41.793199014, -87.602226144)"
JG464752,10/15/2023 03:25:00 PM,103XX S WALLACE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2232,21,08B,1174128,1836390,41.706453854,-87.637960267,"(41.706453854, -87.637960267)"
JG523486,11/30/2023 02:00:00 PM,031XX W MARQUETTE RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,831,14,08B,1156439,1860025,41.771685949,-87.702102281,"(41.771685949, -87.702102281)"
JG406528,09/01/2023 09:43:00 AM,012XX S KARLOV AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1011,24,08A,1149246,1894056,41.865213688,-87.727590376,"(41.865213688, -87.727590376)"
JG450325,10/01/2023 12:00:00 AM,026XX N OAK PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2512,36,08B,1130641,1916728,41.927768687,-87.795369174,"(41.927768687, -87.795369174)"
JG465125,10/15/2023 08:50:00 PM,054XX S WENTWORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,225,20,06,1175887,1869033,41.795991039,-87.630542489,"(41.795991039, -87.630542489)"
JG465926,10/15/2023 10:00:00 PM,002XX W ONTARIO ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,1174494,1904440,41.89318177,-87.6345943,"(41.89318177, -87.6345943)"
JH157217,02/18/2024 05:30:00 PM,039XX S LA SALLE ST,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,N,N,213,3,04B,1176051,1879069,41.823527068,-87.629639751,"(41.823527068, -87.629639751)"
JG464751,10/15/2023 07:30:00 AM,023XX N LAMON AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,2522,31,03,1143351,1914947,41.922653121,-87.748708775,"(41.922653121, -87.748708775)"
JG464155,10/15/2023 02:42:00 AM,080XX S EXCHANGE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,422,7,04A,1197222,1852411,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
JG464925,10/15/2023 05:55:00 PM,033XX W BELMONT AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1733,35,06,1153368,1921084,41.939300241,-87.711739358,"(41.939300241, -87.711739358)"
JG426176,09/16/2023 03:00:00 AM,028XX W PERSHING RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,921,12,08B,1158083,1878652,41.822767689,-87.695569281,"(41.822767689, -87.695569281)"
JG408110,09/02/2023 12:55:00 PM,035XX N HARLEM AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1632,38,04A,1127450,1922614,41.943974935,-87.806962321,"(41.943974935, -87.806962321)"
JG408087,09/02/2023 12:00:00 PM,024XX N NEWLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2512,36,14,1129678,1915519,41.924467566,-87.798935588,"(41.924467566, -87.798935588)"
JG426343,09/16/2023 01:30:00 AM,018XX N RUTHERFORD AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,2513,29,07,1131128,1911492,41.913392053,-87.793700675,"(41.913392053, -87.793700675)"
JG408030,09/02/2023 11:32:00 AM,072XX S PERRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,731,6,14,1176650,1856982,41.76290467,-87.628106962,"(41.76290467, -87.628106962)"
JG409085,09/02/2023 03:00:00 PM,027XX W ARMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1431,1,07,1157835,1913174,41.917504574,-87.695538097,"(41.917504574, -87.695538097)"
JG426837,09/16/2023 02:00:00 PM,0000X W LAKE ST,0870,THEFT,POCKET-PICKING,STREET,N,N,111,42,06,1176222,1901746,41.8857505,-87.628329355,"(41.8857505, -87.628329355)"
JG410010,09/02/2023 11:43:00 PM,065XX S KEATING AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,833,13,26,1145838,1860859,41.774181526,-87.74094157,"(41.774181526, -87.74094157)"
JG408544,09/02/2023 06:30:00 PM,081XX S HOUSTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,422,7,08B,1197905,1851485,41.747315928,-87.550388523,"(41.747315928, -87.550388523)"
JG408387,09/02/2023 04:00:00 PM,027XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,133,4,14,1177707,1886514,41.843919342,-87.623338795,"(41.843919342, -87.623338795)"
JG408622,09/02/2023 08:20:00 PM,013XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1424,1,06,1164309,1909321,41.906797102,-87.671861659,"(41.906797102, -87.671861659)"
JG426455,09/16/2023 12:30:00 AM,020XX N OAK PARK AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,2512,29,07,1130755,1912826,41.917059151,-87.795040266,"(41.917059151, -87.795040266)"
JG428264,09/16/2023 10:00:00 AM,027XX W GLENLAKE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,2413,50,07,1156763,1940385,41.992195041,-87.698736356,"(41.992195041, -87.698736356)"
JG427242,09/16/2023 08:00:00 AM,018XX W MAYPOLE AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1223,27,06,1164094,1901067,41.884152048,-87.672884839,"(41.884152048, -87.672884839)"
JG464346,10/15/2023 05:08:00 AM,080XX S EXCHANGE AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,SIDEWALK,N,N,422,7,15,1197222,1852411,41.749873967,-87.552860394,"(41.749873967, -87.552860394)"
JG464325,10/15/2023 03:05:00 AM,056XX S BISHOP ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,713,16,07,1167625,1867441,41.791803761,-87.66088535,"(41.791803761, -87.66088535)"
JG430865,09/16/2023 07:20:00 PM,010XX W MADISON ST,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1232,34,06,1169700,1900215,41.881693864,-87.652323905,"(41.881693864, -87.652323905)"
JG434251,09/15/2023 02:00:00 PM,010XX W MADISON ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1232,34,06,1169700,1900215,41.881693864,-87.652323905,"(41.881693864, -87.652323905)"
JG465255,10/15/2023 10:50:00 PM,005XX N MILWAUKEE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,N,N,1214,27,03,1170867,1903766,41.891412551,-87.647934597,"(41.891412551, -87.647934597)"
JG530826,11/29/2023 12:30:00 AM,011XX S MONITOR AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1513,29,06,1137561,1894435,41.866471956,-87.770477835,"(41.866471956, -87.770477835)"
JG522958,11/30/2023 10:15:00 AM,035XX W FLOURNOY ST,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,APARTMENT,N,N,1133,24,26,1152883,1896803,41.872680563,-87.714166016,"(41.872680563, -87.714166016)"
JG523445,11/30/2023 12:15:00 PM,021XX S PRINCETON AVE,0810,THEFT,OVER $500,STREET,N,N,914,11,06,1174265,1890173,41.854037308,-87.635861095,"(41.854037308, -87.635861095)"
JG446260,10/01/2023 12:50:00 PM,042XX N LINCOLN AVE,0850,THEFT,ATTEMPT THEFT,GROCERY FOOD STORE,N,N,1911,47,06,1161360,1928326,41.959009912,-87.682164298,"(41.959009912, -87.682164298)"
JG410006,09/03/2023 11:31:00 PM,071XX S WASHTENAW AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,Y,N,831,17,18,1159607,1857244,41.763990085,-87.690565528,"(41.763990085, -87.690565528)"
JG409953,09/03/2023 08:57:00 PM,018XX W 69TH ST,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,STREET,Y,N,726,17,15,1165457,1858929,41.768491995,-87.669076134,"(41.768491995, -87.669076134)"
JG409120,09/03/2023 08:50:00 AM,039XX N ELSTON AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,1732,35,08B,1151801,1925874,41.952475397,-87.717372039,"(41.952475397, -87.717372039)"
JG409748,09/03/2023 05:27:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833,2,06,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG449131,10/01/2023 05:00:00 PM,007XX S CLARK ST,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,123,4,06,1175633,1897092,41.872992906,-87.63063219,"(41.872992906, -87.63063219)"
JG410408,09/03/2023 11:00:00 PM,116XX S AVENUE G,0810,THEFT,OVER $500,STREET,N,N,433,10,06,1203237,1828472,41.684031728,-87.531636264,"(41.684031728, -87.531636264)"
JG410125,09/03/2023 08:46:00 PM,008XX N MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1833,42,07,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG409440,09/03/2023 09:00:00 AM,009XX N RIDGEWAY AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,1112,27,03,1151213,1905985,41.897909836,-87.72005647,"(41.897909836, -87.72005647)"
JG446488,10/01/2023 02:42:00 PM,008XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,RESTAURANT,Y,N,1833,2,08A,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG445955,10/01/2023 07:50:00 AM,026XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1935,43,14,1172084,1917748,41.92975312,-87.643051915,"(41.92975312, -87.643051915)"
JG445952,10/01/2023 07:46:00 AM,008XX E 90TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,633,8,14,1183300,1845146,41.730273225,-87.604101451,"(41.730273225, -87.604101451)"
JG430509,09/17/2023 12:00:00 PM,052XX S ASHLAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,932,16,11,1166565,1869887,41.798538563,-87.664702422,"(41.798538563, -87.664702422)"
JG427732,09/17/2023 10:30:00 AM,001XX E PERSHING RD,0880,THEFT,PURSE-SNATCHING,SIDEWALK,N,Y,212,3,06,1177977,1879171,41.82376346,-87.622570927,"(41.82376346, -87.622570927)"
JG410200,09/04/2023 04:58:00 AM,009XX W DIVERSEY PKWY,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,1933,44,05,1169315,1918782,41.932651187,-87.653197025,"(41.932651187, -87.653197025)"
JG411967,09/04/2023 09:30:00 PM,067XX S CHAPPEL AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,331,5,08B,1191036,1860766,41.772952517,-87.575258319,"(41.772952517, -87.575258319)"
JG411353,09/05/2023 12:00:00 AM,066XX S KENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,321,20,08B,1186208,1861287,41.774497604,-87.592939826,"(41.774497604, -87.592939826)"
JH197638,03/22/2024 02:42:00 PM,068XX S STONY ISLAND AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,332,5,04A,1188043,1859868,41.770560201,-87.58625831,"(41.770560201, -87.58625831)"
JG523927,11/30/2023 09:30:00 AM,017XX W FLETCHER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1931,32,08B,1164105,1920958,41.938734071,-87.672281498,"(41.938734071, -87.672281498)"
JG410081,09/04/2023 01:00:00 AM,078XX S STEWART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,623,17,14,1174979,1853166,41.752470539,-87.634345074,"(41.752470539, -87.634345074)"
JG411172,09/04/2023 08:51:00 PM,082XX S DREXEL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,631,8,15,1183668,1850562,41.745126764,-87.602584901,"(41.745126764, -87.602584901)"
JG427576,09/17/2023 06:18:00 AM,087XX S ESCANABA AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,SIDEWALK,N,N,423,10,15,1196904,1847616,41.736724027,-87.554184749,"(41.736724027, -87.554184749)"
JG428629,09/17/2023 10:57:00 PM,013XX S SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1021,24,08B,1154577,1893618,41.86390688,-87.708031716,"(41.86390688, -87.708031716)"
JG427844,09/17/2023 11:15:00 AM,010XX W 48TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,933,20,08B,1170141,1872982,41.8069545,-87.651498476,"(41.8069545, -87.651498476)"
JG428308,09/17/2023 05:45:00 PM,041XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1723,33,06,1152314,1927367,41.956562161,-87.715446652,"(41.956562161, -87.715446652)"
JG412371,09/05/2023 04:00:00 PM,066XX S KENWOOD AVE,0485,BATTERY,AGGRAVATED OF A CHILD,APARTMENT,N,Y,321,20,04B,1186208,1861287,41.774497604,-87.592939826,"(41.774497604, -87.592939826)"
JG446515,10/01/2023 01:51:00 PM,071XX S SOUTH CHICAGO AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,N,N,323,5,04A,1182926,1857984,41.76551076,-87.60507347,"(41.76551076, -87.60507347)"
JG523331,11/30/2023 02:30:00 PM,008XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,Y,1833,2,08A,1177330,1906499,41.898767916,-87.624116333,"(41.898767916, -87.624116333)"
JG523252,11/30/2023 01:28:00 PM,018XX W BLOOMINGDALE AVE,0810,THEFT,OVER $500,STREET,N,N,1434,32,06,1163902,1912030,41.914239387,-87.673280155,"(41.914239387, -87.673280155)"
JG524151,11/30/2023 08:20:00 AM,065XX S WESTERN AVE,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,832,16,08A,1161496,1861276,41.775015522,-87.683530209,"(41.775015522, -87.683530209)"
